,Unnamed: 0,arch_0,arch_1,arch_2,arch_3,arch_4,arch_5,dataset,espdl_size_bytes,torch_size_bytes,accuracy_fp32,accuracy_esp,idx,seed
0,0,skip_connect,avg_pool_3x3,none,avg_pool_3x3,skip_connect,skip_connect,cifar10,182640,548426,58.62,12.31,931,999
1,1,skip_connect,skip_connect,skip_connect,none,none,avg_pool_3x3,cifar10,174976,531160,74.01,30.33,1296,999
2,2,skip_connect,skip_connect,nor_conv_1x1,none,avg_pool_3x3,skip_connect,cifar10,221632,750517,87.39,83.33,113,999
3,3,avg_pool_3x3,avg_pool_3x3,avg_pool_3x3,avg_pool_3x3,avg_pool_3x3,none,cifar10,164064,622528,70.27,17.46,1184,999
4,4,skip_connect,skip_connect,skip_connect,none,none,nor_conv_3x3,cifar10,433968,1593495,92.01,91.79,842,999
5,5,skip_connect,skip_connect,none,nor_conv_1x1,skip_connect,avg_pool_3x3,cifar10,213952,754595,87.3,83.81,1206,999
6,6,none,skip_connect,avg_pool_3x3,avg_pool_3x3,skip_connect,none,cifar10,187904,553490,75.26,64.19,390,999
7,7,avg_pool_3x3,nor_conv_1x1,skip_connect,skip_connect,skip_connect,none,cifar10,230464,754659,80.38,53.89,1308,999
8,8,none,skip_connect,none,skip_connect,nor_conv_1x1,avg_pool_3x3,cifar10,230304,755363,79.59,20.44,280,999
9,9,skip_connect,none,none,skip_connect,nor_conv_1x1,nor_conv_1x1,cifar10,265328,960917,89.59,54.91,529,999
10,10,avg_pool_3x3,avg_pool_3x3,skip_connect,nor_conv_3x3,skip_connect,skip_connect,cifar10,424592,1629837,80.94,27.97,830,999
11,11,none,none,skip_connect,avg_pool_3x3,nor_conv_3x3,skip_connect,cifar10,444896,1621475,75.62,15.5,1116,999
12,12,skip_connect,avg_pool_3x3,avg_pool_3x3,nor_conv_1x1,none,none,cifar10,244176,784067,88.96,88.89,956,999
13,13,skip_connect,none,skip_connect,nor_conv_3x3,nor_conv_1x1,skip_connect,cifar10,461008,1817493,92.27,92.26,124,999
14,14,avg_pool_3x3,skip_connect,nor_conv_1x1,none,skip_connect,avg_pool_3x3,cifar10,242256,770409,79.9,70.0,44,999
15,15,avg_pool_3x3,avg_pool_3x3,nor_conv_1x1,nor_conv_1x1,skip_connect,skip_connect,cifar10,256928,998219,86.6,72.07,481,999
16,16,avg_pool_3x3,skip_connect,none,none,nor_conv_3x3,skip_connect,cifar10,436624,1617461,89.89,89.47,195,999
