idx,seed,dataset,accuracy_fp32,accuracy_esp,key,espdl_size_bytes,torch_size_bytes,edgegpu_latency,edgegpu_energy,raspi4_latency,edgetpu_latency,pixel3_latency,eyeriss_latency,eyeriss_energy,eyeriss_arithmetic_intensity,fpga_latency,fpga_energy,average_hw_metric,arch_index,flop,test_acc,arch_0,arch_1,arch_2,arch_3,arch_4,arch_5
763,888,cifar10,75.55,18.68,200,242080,781395,3.2227325439453125,13.960877380371096,7.772160539971083,-1.0,3.96632,4.874420000000002,0.9338578365,3.4990663350154834,2.46736,17.271520000000002,-269050.1782987929,763,11.71521,75.59,none,skip_connect,avg_pool_3x3,avg_pool_3x3,nor_conv_1x1,none
931,888,cifar10,62.55,15.64,200,182640,548426,4.005098342895508,17.430187988281247,8.384580720012309,0.9822115850001863,4.69337,4.628660000000002,0.9026101085,2.6348779358235475,1.95216,13.66512,300725.8659212798,931,7.78305,62.56,skip_connect,avg_pool_3x3,none,avg_pool_3x3,skip_connect,skip_connect
1296,888,cifar10,73.62,30.27,200,174976,531096,3.831038475036621,16.66884840488434,5.526349819992902,0.6788407000003644,2.60226,3.154100000000001,0.6247873085,4.5797302195526095,1.54256,10.79792,20462.97954766891,1296,7.78305,73.6,skip_connect,skip_connect,skip_connect,none,none,avg_pool_3x3
113,888,cifar10,87.09,71.13,0,222368,750581,4.638934135437012,20.19328029155731,8.000758740017773,0.845302931000333,2.95332,3.399860000000001,0.6560350365000001,5.5954684920829,2.05776,14.40432,123695.72365115632,113,11.71521,87.09,skip_connect,skip_connect,nor_conv_1x1,none,avg_pool_3x3,skip_connect
752,888,cifar10,92.7,15.45,200,573008,2272401,6.803379058837891,30.324361310005187,24.769207979989005,-1.0,9.00592,3.8913800000000016,0.7539199325,19.072037932451035,3.93616,27.55312,-14642961.866855005,752,54.96897,92.71,none,skip_connect,nor_conv_1x1,nor_conv_1x1,nor_conv_1x1,nor_conv_3x3
698,888,cifar10,92.55,91.86,200,723760,2922987,5.954990386962891,27.285765953063965,41.50205587997334,1.306411505000142,17.4973,6.348980000000003,1.2824595165,17.923772231415303,4.57296,32.01072,183729261.08957323,698,82.49409,92.55,nor_conv_3x3,nor_conv_1x1,skip_connect,avg_pool_3x3,skip_connect,nor_conv_3x3
1184,888,cifar10,70.09,16.29,200,161968,622592,3.4366559982299805,15.01990504026413,15.213446039997509,1.1358980780005368,6.46824,9.05234,1.7360785085000003,1.1586995850563104,3.18096,22.26672,6422454.148787385,1184,7.78305,70.09,avg_pool_3x3,avg_pool_3x3,avg_pool_3x3,avg_pool_3x3,avg_pool_3x3,none
1206,888,cifar10,87.12,61.75,200,213968,754595,4.62946891784668,19.96998575528463,12.491583199953311,0.8519111109999358,4.105689999999999,3.399860000000001,0.6560350365000001,5.5954684920829,2.05776,14.40432,267043.73885781073,1206,11.71521,87.12,skip_connect,skip_connect,none,nor_conv_1x1,skip_connect,avg_pool_3x3
842,888,cifar10,92.25,91.87,200,436848,1593687,3.929791450500488,17.85697235107422,18.787823259990542,0.5595047110000451,8.05848,3.154100000000001,0.6601767485,25.40371154063418,2.39056,16.733919999999998,495157.8805402782,842,43.17249,92.27,skip_connect,skip_connect,skip_connect,none,none,nor_conv_3x3
1308,888,cifar10,80.41,36.87,200,232608,754659,2.769594192504883,12.050504331588746,5.651883199971053,0.7034539129999757,2.41496,3.3998600000000003,0.6560350365000001,5.5954684920829,2.05776,14.40432,21185.35192089424,1308,11.71521,80.4,avg_pool_3x3,nor_conv_1x1,skip_connect,skip_connect,skip_connect,none
