idx,seed,dataset,accuracy_fp32,accuracy_esp,key,espdl_size_bytes,torch_size_bytes
763,888,cifar10,75.55,18.68,200,242080,781395
931,888,cifar10,62.55,15.64,200,182640,548426
1296,888,cifar10,73.62,30.27,200,174976,531096
113,888,cifar10,87.09,71.13,0,222368,750581
752,888,cifar10,92.7,15.45,200,573008,2272401
698,888,cifar10,92.55,91.86,200,723760,2922987
1184,888,cifar10,70.09,16.29,200,161968,622592
1206,888,cifar10,87.12,61.75,200,213968,754595
842,888,cifar10,92.25,91.87,200,436848,1593687
1308,888,cifar10,80.41,36.87,200,232608,754659
390,888,cifar10,75.57,63.03,200,187904,553554
774,888,cifar10,91.49,90.28,200,718112,2922731
313,888,cifar10,75.74,63.43,200,180112,578096
280,888,cifar10,79.57,33.54,200,230304,755363
369,888,cifar10,90.7,89.52,200,723312,2723217
665,888,cifar10,91.76,91.59,200,444544,1612085
529,888,cifar10,90.03,35.2,200,264624,961109
830,888,cifar10,78.91,42.84,200,424592,1629901
1116,888,cifar10,75.27,26.89,200,444896,1621475
956,888,cifar10,89.09,88.62,200,244176,783619
687,888,cifar10,85.49,75.09,200,216976,792619
124,888,cifar10,92.12,92.0,0,461024,1817237
708,888,cifar10,92.84,92.86,200,1002816,3994193
44,888,cifar10,79.06,66.0,0,240816,771049
481,888,cifar10,86.71,58.61,200,256928,998091
195,888,cifar10,89.92,89.74,0,435936,1617525
720,888,cifar10,91.79,23.29,200,1019776,4000849
1220,888,cifar10,92.04,91.89,200,449840,1628067
1276,888,cifar10,80.13,45.14,200,227792,803543
421,888,cifar10,91.54,91.41,200,442960,1617525
1230,888,cifar10,78.87,50.45,200,436576,1670359
1334,888,cifar10,89.25,85.81,200,271008,1009093
564,888,cifar10,87.28,69.04,200,448112,1833837
88,888,cifar10,88.59,9.74,0,323920,1183537
492,888,cifar10,92.2,92.01,200,697456,2677397
864,888,cifar10,86.96,84.34,200,262896,985843
1411,888,cifar10,79.83,12.01,200,426256,1656720
786,888,cifar10,88.61,77.98,200,248832,781715
675,888,cifar10,65.7,16.21,200,202544,601550
1095,888,cifar10,90.1,88.87,200,315920,997995
633,888,cifar10,86.7,10.0,200,306528,991795
732,888,cifar10,93.52,93.29,200,1030432,4240551
1355,888,cifar10,86.56,60.08,200,471952,1862462
259,888,cifar10,89.15,86.01,200,506864,1844329
899,888,cifar10,75.52,64.4,200,448320,1650947
302,888,cifar10,83.54,45.31,200,240192,796515
552,888,cifar10,10.0,10.0,200,495120,1835413
909,888,cifar10,90.04,87.8,200,494400,1843453
134,888,cifar10,90.31,87.37,0,332368,1209457
1401,888,cifar10,84.62,80.79,200,499248,1869381
357,888,cifar10,87.02,76.52,200,451136,1856011
597,888,cifar10,91.29,90.76,200,498240,1845939
576,888,cifar10,87.58,68.18,200,371936,1414993
1378,888,cifar10,91.43,91.29,200,520256,1851755
446,888,cifar10,93.09,92.53,200,554592,2267467
1366,888,cifar10,91.83,92.07,200,737744,2711979
