idx,seed,key,espdl_size_bytes,torch_size_bytes
1,777,0,929648,3759971
1,888,0,928960,3768065
1,999,0,928960,3769129
2,777,0,698576,2755057
2,888,0,699248,2755057
2,999,0,699248,2755057
3,777,0,175104,531266
3,888,0,175104,531436
3,999,0,175104,531436
4,777,0,247280,937689
4,888,0,247280,937689
4,999,0,245888,937689
5,777,0,552240,2056685
5,888,0,552240,2056685
5,999,0,552960,2056749
6,777,0,976592,3784621
6,888,0,976592,3784777
6,999,0,976592,3787119
7,777,0,705216,2691661
7,888,0,705936,2691789
7,999,0,703792,2691981
8,777,0,494352,1832781
8,888,0,495056,1833421
8,999,0,492192,1832461
10,777,0,969920,3773453
10,888,0,969920,3773453
10,999,0,969920,3773453
11,777,0,974368,3807185
11,888,0,974368,3807185
11,999,0,974368,3807057
12,777,0,440896,1628103
12,888,0,440896,1628039
12,999,0,440896,1628103
14,777,0,761136,2913165
14,888,0,761136,2913101
14,999,0,761136,2913229
15,777,0,188272,543986
15,888,0,187568,543922
15,999,0,186848,544178
16,777,0,696480,2671257
16,888,0,697184,2671193
16,999,0,699328,2671385
17,777,0,304560,1194474
17,888,0,307328,1194922
17,999,0,304544,1194730
19,777,0,763344,2947025
19,888,0,763344,2947025
19,999,0,763344,2947153
20,777,0,708000,2718429
20,888,0,709408,2718237
20,999,0,708704,2718493
21,777,0,539216,2052941
21,888,0,539216,2053005
21,999,0,539216,2053069
22,777,0,496976,1882559
22,888,0,496976,1882495
22,999,0,499040,1882559
23,777,0,925520,3799436
23,888,0,925520,3799372
23,999,0,925520,3799436
25,777,0,152864,511086
25,888,0,152864,510766
25,999,0,152864,510894
27,777,0,316432,1201775
27,888,0,316432,1201519
27,999,0,316432,1201519
29,777,0,459904,1662539
29,888,0,457008,1662475
29,999,0,457744,1662667
31,777,0,478464,1858781
31,888,0,478464,1859037
31,999,0,478464,1859037
32,777,0,487776,1811737
32,888,0,484224,1811353
32,999,0,484224,1812057
33,777,0,525584,2063599
33,888,0,525584,2063919
33,999,0,525584,2063727
34,777,0,490400,1843131
34,888,0,490400,1843131
34,999,0,490400,1843067
36,777,0,732080,2940492
36,888,0,737584,2940492
36,999,0,734832,2940364
37,777,0,222848,748807
37,888,0,221408,748615
37,999,0,222128,748871
38,777,0,763888,2923183
38,888,0,765984,2923183
38,999,0,763888,2923183
39,777,0,253296,951449
39,888,0,251216,950937
39,999,0,251216,951705
40,777,0,500032,1841147
40,888,0,501440,1841211
40,999,0,500032,1841211
41,777,0,538608,2054029
41,888,0,538608,2054029
41,999,0,538608,2054029
42,777,0,755040,2905805
42,888,0,756432,2905805
42,999,0,756416,2905741
43,777,0,721312,2726365
43,888,0,721312,2726301
43,999,0,721312,2726301
44,777,0,242256,770985
44,888,0,240816,771049
44,999,0,242256,770409
45,777,0,205360,729829
45,888,0,204688,729829
45,999,0,205360,729637
47,777,0,705984,2719197
47,888,0,705984,2719133
47,999,0,705984,2718941
48,777,0,227392,748039
48,888,0,224544,747207
48,999,0,225952,747847
49,777,0,492912,1836219
49,888,0,495056,1836475
49,999,0,492912,1836411
50,777,0,812608,3347440
50,888,0,811920,3347504
50,999,0,811920,3347568
51,777,0,501040,1835643
51,888,0,501040,1835131
51,999,0,498864,1835707
52,777,0,734736,2939852
52,888,0,734736,2939532
52,999,0,733360,2939916
54,777,0,721600,2915882
54,888,0,721600,2915498
54,999,0,720224,2915882
55,777,0,157232,527632
55,888,0,160640,527888
55,999,0,160608,527056
57,777,0,466656,1662411
57,888,0,466656,1662411
57,999,0,466656,1662347
58,777,0,182624,544306
58,888,0,182624,544690
58,999,0,182624,544370
59,777,0,280432,1219660
59,888,0,280432,1219596
59,999,0,280432,1219660
60,777,0,341456,1179661
60,888,0,339328,1179341
60,999,0,340736,1179533
61,777,0,506768,1858973
61,888,0,508224,1858461
61,999,0,506768,1858909
62,777,0,530624,2063407
62,888,0,530624,2063407
62,999,0,530624,2063663
63,777,0,768144,3167552
63,888,0,768144,3167552
63,999,0,768144,3167552
64,777,0,1030528,4230226
64,888,0,1030528,4230226
64,999,0,1030528,4230098
65,777,0,1030064,4231378
65,888,0,1030064,4231378
65,999,0,1030064,4233668
66,777,0,170960,577258
66,888,0,170960,576874
66,999,0,170960,577194
67,777,0,1026160,4211908
67,888,0,1024096,4211972
67,999,0,1023408,4212164
68,777,0,486272,1838533
68,888,0,486960,1838853
68,999,0,486960,1839109
69,777,0,728064,2687109
69,888,0,725920,2686981
69,999,0,728064,2687237
70,777,0,709904,2687173
70,888,0,709904,2686981
70,999,0,709904,2686789
72,777,0,213440,732953
72,888,0,213440,733081
72,999,0,213440,732953
73,777,0,725104,2744325
73,888,0,725104,2744837
73,999,0,725104,2744261
74,777,0,479840,1833349
74,888,0,479840,1833349
74,999,0,479840,1833349
75,777,0,475280,1640857
75,888,0,475280,1640857
75,999,0,475280,1640857
78,777,0,586336,2276765
78,888,0,586336,2276765
78,999,0,586336,2276893
79,777,0,494880,1814085
79,888,0,495584,1814085
79,999,0,496304,1813957
80,777,0,554496,2048177
80,888,0,554496,2048177
80,999,0,554496,2048113
81,777,0,1224368,5069508
81,888,0,1224368,5069700
81,999,0,1223680,5069828
83,777,0,240176,773081
83,888,0,240192,773017
83,999,0,239472,773145
84,777,0,480080,1837829
84,888,0,480080,1837957
84,999,0,480080,1837957
85,777,0,520096,2064177
85,888,0,520096,2064433
85,999,0,520096,2064369
86,777,0,517376,2041713
86,888,0,516704,2041713
86,999,0,518064,2041713
88,777,0,323920,1183089
88,888,0,323920,1183537
88,999,0,323920,1183473
89,777,0,469936,1835845
89,888,0,469936,1835909
89,999,0,470624,1835845
90,777,0,349568,1426520
90,888,0,349568,1426840
90,999,0,349568,1426968
91,777,0,359488,1211505
91,888,0,359488,1211249
91,999,0,359488,1211569
92,777,0,526720,2084396
92,888,0,523296,2084076
92,999,0,526736,2084524
93,777,0,721888,2705605
93,888,0,721888,2705605
93,999,0,721888,2706117
94,777,0,246896,971072
94,888,0,244848,971200
94,999,0,245520,971072
95,777,0,189056,576426
95,888,0,188320,576490
95,999,0,189776,576426
97,777,0,192832,739417
97,888,0,192832,739353
97,999,0,192832,739289
98,777,0,254608,996288
98,888,0,256688,995968
98,999,0,251856,995968
99,777,0,721968,2901361
99,888,0,720592,2901041
99,999,0,721968,2900849
101,777,0,444992,1809295
101,888,0,447744,1809167
101,999,0,446368,1809359
102,777,0,586080,2274513
102,888,0,586800,2274961
102,999,0,586800,2275345
103,777,0,748096,2928945
103,888,0,748096,2928817
103,999,0,748096,2928689
105,777,0,147520,549108
105,888,0,147520,548980
105,999,0,147520,549044
106,777,0,217936,782739
106,888,0,217936,782803
106,999,0,217936,782803
107,777,0,484080,1881513
107,888,0,485488,1881897
107,999,0,484096,1881769
108,777,0,225776,770805
108,888,0,225776,770869
108,999,0,225776,770869
109,777,0,798832,3157999
109,888,0,798832,3157359
109,999,0,798832,3157615
111,777,0,734688,3127371
111,888,0,735376,3127243
111,999,0,734688,3127243
112,777,0,699824,2683861
112,888,0,699824,2683797
112,999,0,699824,2683669
113,777,0,221648,750517
113,888,0,222368,750581
113,999,0,221632,750517
114,777,0,695744,2706803
114,888,0,695072,2706611
114,999,0,696448,2706803
115,777,0,455888,1642579
115,888,0,455888,1642707
115,999,0,455888,1642707
116,777,0,554528,2052755
116,888,0,554528,2052307
116,999,0,554528,2052051
117,777,0,970880,4034695
117,888,0,970880,4034887
117,999,0,970880,4034695
118,777,0,199888,552594
118,888,0,199888,552402
118,999,0,198448,552466
120,777,0,720208,2713779
120,888,0,720208,2713843
120,999,0,720208,2714035
122,777,0,293136,1226313
122,888,0,293136,1226249
122,999,0,293136,1226761
123,777,0,499840,1887855
123,888,0,498464,1887471
123,999,0,498464,1887663
124,777,0,461712,1817173
124,888,0,461024,1817237
124,999,0,461008,1817493
125,777,0,287312,981427
125,888,0,288016,981363
125,999,0,286608,981299
126,777,0,255584,1020841
126,888,0,255584,1021673
126,999,0,255584,1020777
127,777,0,551616,2074609
127,888,0,551616,2074481
127,999,0,551616,2074673
128,777,0,744304,2906963
128,888,0,742896,2907219
128,999,0,744304,2906579
129,777,0,1000560,4018095
129,888,0,1000560,4018415
129,999,0,1000560,4018799
130,777,0,463520,1857227
130,888,0,462160,1856907
130,999,0,462144,1857355
131,777,0,501088,1852147
131,888,0,501088,1852659
131,999,0,501088,1852659
132,777,0,474960,1816981
132,888,0,475696,1816853
132,999,0,475680,1816853
133,777,0,763360,2929009
133,888,0,763360,2929329
133,999,0,764048,2928881
134,777,0,332352,1209393
134,888,0,332368,1209457
134,999,0,333072,1209329
135,777,0,430416,1594391
135,888,0,431152,1594263
135,999,0,428992,1594199
136,777,0,1202784,4895047
136,888,0,1204144,4894279
136,999,0,1202784,4894663
137,777,0,928736,3780843
137,888,0,929424,3781355
137,999,0,929424,3781099
138,777,0,1477456,5943055
138,888,0,1477456,5942863
138,999,0,1477456,5942863
139,777,0,719200,2921195
139,888,0,719200,2920875
139,999,0,719200,2920171
140,777,0,502672,2062443
140,888,0,500608,2063019
140,999,0,500608,2061611
141,777,0,294896,1201643
141,888,0,294912,1202411
141,999,0,291472,1201899
143,777,0,503360,1863953
143,888,0,503360,1863825
143,999,0,503360,1863761
145,777,0,267712,1003793
145,888,0,266320,1003857
145,999,0,267008,1003537
146,777,0,467408,1660337
146,888,0,464576,1660081
146,999,0,467408,1660657
147,777,0,995344,4011113
147,888,0,995344,4010409
147,999,0,995344,4010729
148,777,0,536544,2051987
148,888,0,534448,2052371
148,999,0,536544,2052563
150,777,0,263296,1002897
150,888,0,263296,1002961
150,999,0,263296,1003025
152,777,0,539104,2057811
152,888,0,539104,2057427
152,999,0,539104,2057043
153,777,0,832256,3362319
153,888,0,832256,3362063
153,999,0,832256,3362127
154,777,0,566272,2314375
154,888,0,566272,2313799
154,999,0,566272,2313799
155,777,0,475632,1880617
155,888,0,474240,1881193
155,999,0,474256,1881257
156,777,0,424256,1629325
156,888,0,424944,1629325
156,999,0,426320,1629325
157,777,0,173312,587912
157,888,0,172592,587976
157,999,0,173312,587912
158,777,0,785584,3157487
158,888,0,785584,3157551
158,999,0,785584,3157551
160,777,0,453072,1633939
160,888,0,453792,1634003
160,999,0,455248,1633683
161,777,0,450320,1619445
161,888,0,450320,1618997
161,999,0,448896,1619381
163,777,0,225712,751285
163,888,0,226432,751349
163,999,0,224288,751477
165,777,0,812080,3134033
165,888,0,812080,3134481
165,999,0,812080,3134417
166,777,0,264464,962901
166,888,0,264464,962645
166,999,0,264464,963029
167,777,0,265056,979699
167,888,0,265056,979315
167,999,0,265056,979571
168,777,0,794256,3355337
168,888,0,796960,3355465
