idx,seed,dataset,acc,esp_acc
931,999,cifar10,58.62,12.31
1296,999,cifar10,74.01,30.33
113,999,cifar10,87.39,83.33
1184,999,cifar10,70.27,17.46
842,999,cifar10,92.01,91.79
1206,999,cifar10,87.30,83.81
390,999,cifar10,75.26,64.19
1308,999,cifar10,80.38,53.89
620,999,cifar10,75.55,58.27
313,999,cifar10,76.14,64.84
280,999,cifar10,79.59,20.44
665,999,cifar10,91.91,91.52
0,999,cifar10,85.81,71.70
291,999,cifar10,90.43,89.52
529,999,cifar10,89.59,54.91
830,999,cifar10,80.94,27.97
1116,999,cifar10,75.62,15.50
687,999,cifar10,86.27,71.82
956,999,cifar10,88.96,88.89
1266,999,cifar10,79.91,21.63
205,999,cifar10,92.17,92.05
124,999,cifar10,92.27,92.26
44,999,cifar10,79.90,70.00
481,999,cifar10,86.60,72.07
797,999,cifar10,93.68,93.61
195,999,cifar10,89.89,89.47
1276,999,cifar10,80.26,56.21
876,999,cifar10,80.19,59.84
1220,999,cifar10,91.79,91.73
1230,999,cifar10,79.26,64.90
421,999,cifar10,90.60,90.54
1334,999,cifar10,88.97,84.51
88,999,cifar10,88.50,9.92
492,999,cifar10,92.07,91.87
864,999,cifar10,86.84,84.09
564,999,cifar10,87.49,78.97
786,999,cifar10,88.28,73.45
675,999,cifar10,67.62,10.17
1411,999,cifar10,80.46,35.45
763,777,cifar10,75.86,11.55
1095,999,cifar10,89.72,88.27
633,999,cifar10,86.89,10.32
218,999,cifar10,91.24,91.32
1355,999,cifar10,87.16,46.68
899,999,cifar10,75.45,66.36
259,999,cifar10,88.60,85.10
552,999,cifar10,10.00,10.00
302,999,cifar10,83.24,34.40
909,999,cifar10,89.64,87.23
134,999,cifar10,89.99,88.91
1401,999,cifar10,85.64,79.74
346,999,cifar10,88.92,88.38
597,999,cifar10,91.37,90.71
357,999,cifar10,86.96,68.39
1022,999,cifar10,90.90,90.70
379,777,cifar10,87.41,84.56
576,999,cifar10,88.28,84.50
457,999,cifar10,87.51,76.74
1366,999,cifar10,91.86,91.74
1378,999,cifar10,91.20,91.06
324,999,cifar10,82.93,12.67
1322,999,cifar10,92.37,92.10
446,999,cifar10,93.11,92.83
400,999,cifar10,92.34,92.05
504,999,cifar10,90.35,88.03
999,999,cifar10,91.40,89.88
1073,999,cifar10,92.39,92.35
1137,999,cifar10,89.87,87.52
989,999,cifar10,85.78,60.17
644,999,cifar10,91.90,91.44
228,999,cifar10,92.69,92.07
31,999,cifar10,90.83,88.57
819,999,cifar10,91.17,90.68
1059,999,cifar10,93.53,93.20
752,777,cifar10,92.12,51.73
270,999,cifar10,88.67,85.38
967,999,cifar10,88.69,10.85
698,777,cifar10,92.51,92.05
1159,999,cifar10,87.11,59.69
1241,999,cifar10,88.71,10.01
434,999,cifar10,86.62,69.93
921,999,cifar10,92.87,92.66
541,999,cifar10,93.86,93.83
979,999,cifar10,90.97,90.69
20,999,cifar10,90.18,77.98
169,999,cifar10,88.77,84.86
56,999,cifar10,93.48,93.13
774,777,cifar10,91.50,90.14
516,999,cifar10,86.62,66.11
1286,999,cifar10,88.50,86.01
1427,999,cifar10,91.80,90.38
249,999,cifar10,92.10,91.96
336,999,cifar10,90.79,89.23
1105,999,cifar10,93.29,93.02
369,777,cifar10,90.97,89.72
1084,999,cifar10,93.27,93.21
77,999,cifar10,93.23,93.05
943,999,cifar10,86.52,10.00
889,999,cifar10,91.12,89.98
1345,999,cifar10,92.11,90.51
100,999,cifar10,92.17,91.45
469,999,cifar10,91.59,90.11
1254,999,cifar10,91.20,90.19
1046,999,cifar10,93.29,93.08
931,777,cifar10,63.39,10.03
1034,999,cifar10,92.26,92.28
184,999,cifar10,91.05,90.67
708,777,cifar10,93.39,93.19
1010,999,cifar10,92.76,92.70
1389,999,cifar10,90.63,88.14
1296,777,cifar10,72.52,27.50
1126,999,cifar10,91.20,89.85
10,999,cifar10,10.00,10.00
158,999,cifar10,92.69,92.12
238,999,cifar10,92.41,91.89
720,777,cifar10,92.13,24.57
586,999,cifar10,92.45,92.32
609,999,cifar10,93.25,93.17
67,999,cifar10,93.25,93.18
147,999,cifar10,92.95,92.76
655,999,cifar10,93.81,93.58
411,999,cifar10,93.18,92.86
852,999,cifar10,93.72,93.45
1173,999,cifar10,93.06,92.46
808,999,cifar10,92.17,91.96
1149,999,cifar10,93.11,92.79
1195,999,cifar10,92.97,93.05
732,777,cifar10,93.26,92.95
113,777,cifar10,87.51,82.73
1184,777,cifar10,70.48,11.73
1206,777,cifar10,87.16,79.69
842,777,cifar10,91.31,91.14
